hostname pl_name sy_dist sy_disterr1 sy_disterr2 rastr decstr sy_vmag sy_jmag sy_kmag st_mass st_masserr1 st_masserr2 st_rad st_raderr1 st_raderr2 st_teff st_tefferr1 st_tefferr2 st_tefferr12 st_tefferr22 st_logg st_lum pl_tranmid pl_tranmiderr1 pl_tranmiderr2 pl_rade pl_radeerr1 pl_radeerr2 pl_bmasse pl_bmasseerr1 pl_bmasseerr2 pl_orbper pl_orbpererr1 pl_orbpererr2 pl_orbsmax pl_orbsmaxerr1 pl_orbsmaxerr2 pl_orbincl pl_orbeccen pl_orbeccenerr1 pl_orbeccenerr2 pl_eqt pl_ratror pl_ratrorerr1 pl_ratrorerr2 pl_ratdor pl_ratdorerr1 pl_ratdorerr2 tran_flag rv_flag
"HD 260655" "HD 260655 b" 10.0055 0.00505 -0.00505 06h37m09.97s +17d33m58.57s 9.63 6.674 5.862 0.44 0.01 -0.01 0.44 0.0 -0.0 3803.0 10.0 -10.0 10.0 -10.0 5.2 -1.44 2459497.9102 0.0003 -0.0003 1.24 0.023 -0.023 2.14 0.34 -0.34 2.76953 3e-05 -3e-05 0.02933 0.00024 -0.00024 87.35 0.039 0.043 -0.023 709.0 0.02586 0.00046 -0.00046 14.43 0.29 -0.29 1 1
"HD 260655" "HD 260655 c" 10.0055 0.00505 -0.00505 06h37m09.97s +17d33m58.57s 9.63 6.674 5.862 0.44 0.01 -0.01 0.44 0.0 -0.0 3803.0 10.0 -10.0 10.0 -10.0 5.2 -1.44 2459490.3646 0.0004 -0.0004 1.533 0.051 -0.046 3.09 0.48 -0.48 5.70588 7e-05 -7e-05 0.04749 0.00039 -0.00039 87.79 0.038 0.036 -0.022 557.0 0.032 0.001 -0.001 23.37 0.47 -0.47 1 1
