col0 col1
0.5 0.4574202765141995
0.6 0.6222834934032901
0.7 0.6961255844366075
0.8 0.7231147532984594
0.9 0.712760579680891
1.0 0.7140054747782048
1.1 0.6703725167617931
1.2 0.6230072067091132
1.3 0.5874004142002278
1.4 0.5633391896927643
1.5 0.5391406399563503
1.6 0.5154904955649124
1.7 0.4927501315660887
1.8 0.46259966621407456
1.9 0.44234525999167995
2.0 0.4233048123758435
2.1 0.4061857621776002
2.2 0.39021069901694005
2.3 0.3727209756293816
2.4 0.3567703802572003
2.5 0.3421615200657665
2.6 0.3288464592798921
2.7 0.3166926029913123
2.8 0.305617797777976
2.9 0.2774894419536624
3.0 0.26828558377614153
3.1 0.25973017599756043
3.2 0.2644298515744534
3.3 0.31090213993781485
3.4 0.23967838937454
3.5 0.281420736964306
3.7 0.3140274019605981
4.0 0.4114894246918659
4.25 0.5409963188418874
4.5 0.7461986351084936
4.75 1.0252137990027328
5.0 1.3824050545278657
5.1 1.5799584457230913
5.2 1.796766387239086
5.3 2.0923347164642103
5.4 2.311940724313408
5.5 2.621132965184591
5.7 3.4232862066239966
5.9 4.1677502411694505
6.1 5.431696876592478
6.3 7.291947303563795
6.5 7.503206310545242
6.7 8.582092458204233
6.9 9.960339874661653
7.1 11.40874889566261
7.3 13.230335887225085
7.5 15.595488084770095
7.7 17.727503714802676
7.9 18.93036529448188
8.1 20.03414822079709
8.3 21.675952738440284
8.5 23.664028719680125
8.7 25.446252150854455
8.9 26.831616516377363
9.1 28.63073998867607
9.3 30.529114626468996
9.5 32.48604251139862
9.7 34.52590478440069
9.9 36.55398402036455
10.1 38.51022389113976
10.3 40.467310188032194
10.5 42.54909133513044
10.7 44.60054300943632
10.9 46.717669583740516
11.1 49.29629168219885
11.3 52.15743092424709
11.5 53.71300014951786
11.7 54.843204163890796
11.9 56.67665015107033
12.1 58.80711089155411
12.3 61.149603493001266
12.5 63.47961517052097
12.7 65.81244788215304
12.9 67.96674101947465
13.1 70.03054334560892
13.3 72.24538601206942
13.5 74.62122009436055
13.7 76.97876453925723
13.9 79.3170177786107
14.1 81.81433607367069
14.3 84.29885506383502
14.5 86.82876645270548
14.7 89.39360612623017
14.9 92.06423537196088
15.1 94.81051496476907
15.3 97.6093604190865
15.5 100.63816556560806
16.5 116.90113498355814
17.5 136.9967116388624
18.5 162.98651061366647
19.5 197.715593126984
20.5 244.8357212256642
21.5 309.10257963109945
22.5 396.0847161218007
23.5 512.4429163056664
24.5 665.6305335869207
25.5 863.0092792678669
26.5 1112.9524315207564
27.5 1425.9950272548663
28.5 1810.970917956943
29.5 2277.9074212558303
30.5 2833.8268080912717
31.0 3147.7858441069875
